fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.02,0.9970278143882751
0.0,0.46,0.9240203499794006
0.010416666666666666,0.46,0.9160305857658386
0.010416666666666666,0.48,0.9056038856506348
0.03125,0.48,0.8911222815513611
0.03125,0.56,0.8483840227127075
0.041666666666666664,0.56,0.8171588778495789
0.041666666666666664,0.62,0.7974681854248047
0.052083333333333336,0.62,0.7909057140350342
0.052083333333333336,0.66,0.7665592432022095
0.08333333333333333,0.66,0.7157014608383179
0.08333333333333333,0.68,0.7063694000244141
0.11458333333333333,0.68,0.676999032497406
0.11458333333333333,0.7,0.6751721501350403
0.14583333333333334,0.7,0.6559084057807922
0.14583333333333334,0.72,0.643059492111206
0.15625,0.72,0.6426981091499329
0.15625,0.74,0.5939420461654663
0.16666666666666666,0.74,0.5782133340835571
0.16666666666666666,0.76,0.5779353976249695
0.1875,0.76,0.5437585115432739
0.1875,0.8,0.5208789706230164
0.19791666666666666,0.8,0.47639939188957214
0.19791666666666666,0.82,0.47564205527305603
0.2708333333333333,0.82,0.3961026072502136
0.2708333333333333,0.84,0.38958001136779785
0.28125,0.84,0.3883456289768219
0.28125,0.86,0.376486599445343
0.3125,0.86,0.32281118631362915
0.3125,0.88,0.31250137090682983
0.3229166666666667,0.88,0.2989763915538788
0.3229166666666667,0.9,0.29445528984069824
0.4166666666666667,0.9,0.21634453535079956
0.4166666666666667,0.92,0.1937544345855713
0.4270833333333333,0.92,0.1831301599740982
0.4270833333333333,0.94,0.18012632429599762
0.4479166666666667,0.94,0.14827318489551544
0.4479166666666667,0.96,0.1413513571023941
0.4791666666666667,0.96,0.13968738913536072
0.4791666666666667,0.98,0.134812593460083
0.7708333333333334,0.98,0.024363555014133453
0.7708333333333334,1.0,0.022332338616251945
1.0,1.0,0.0022737181279808283
