fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.12,1.0
0.0,0.24,0.9999998807907104
0.0,0.84,0.9828135967254639
0.020833333333333332,0.84,0.967452347278595
0.020833333333333332,0.88,0.9463351368904114
0.16666666666666666,0.88,0.1853160411119461
0.16666666666666666,0.9,0.1542181670665741
0.20833333333333334,0.9,0.09547816216945648
0.20833333333333334,0.92,0.05785485729575157
0.2916666666666667,0.92,0.014101695269346237
0.2916666666666667,0.96,0.009965243749320507
0.3125,0.96,0.0071591949090361595
0.3125,0.98,0.006630696356296539
0.4166666666666667,0.98,0.003063533455133438
0.4166666666666667,1.0,0.002967475214973092
1.0,1.0,9.049838922692288e-08
